"year","geoid","ZIP_code","title_field","value"
"2013","86000US07305","07305","Female 18 and 19 years",912
"2013","86000US07305","07305","Female 20 years",452
"2013","86000US07305","07305","Female 21 years",779
"2013","86000US07305","07305","Female 22 to 24 years",1349
"2013","86000US07305","07305","Female 25 to 29 years",2488
"2013","86000US07305","07305","Female 30 to 34 years",2448
"2013","86000US07305","07305","Female 35 to 39 years",2222
"2013","86000US07305","07305","Female 40 to 44 years",2440
"2013","86000US07305","07305","Female 45 to 49 years",2290
"2013","86000US07305","07305","Female 50 to 54 years",2413
"2013","86000US07305","07305","Female 55 to 59 years",2033
"2013","86000US07305","07305","Female 60 and 61 years",605
"2013","86000US07305","07305","Female 62 to 64 years",957
"2013","86000US07305","07305","Female 65 and 66 years",679
"2013","86000US07305","07305","Female 67 to 69 years",789
"2013","86000US07305","07305","Female 70 to 74 years",1167
"2013","86000US07305","07305","Female 75 to 79 years",621
"2013","86000US07305","07305","Female 80 to 84 years",757
"2013","86000US07305","07305","Female 85 years and over",430
"2013","86000US07305","07305","Total Population in Households",62457
"2013","86000US07305","07305","In family households",54587
"2013","86000US07305","07305","In family households - In married-couple family",25930
"2013","86000US07305","07305","In family households - In married-couple family - Relatives",25531
"2013","86000US07305","07305","In family households - In married-couple family - Nonrelatives",399
"2013","86000US07305","07305","In family households - In male householder, no wife present, family",6411
"2013","86000US07305","07305","In family households - In male householder, no wife present, family - Relatives",5724
"2013","86000US07305","07305","In family households - In male householder, no wife present, family - Nonrelatives",687
"2013","86000US07305","07305","In family households - In female householder, no husband present, family",22246
"2013","86000US07305","07305","In family households - In female householder, no husband present, family - Relatives",21428
"2013","86000US07305","07305","In family households - In female householder, no husband present, family - Nonrelatives",818
"2013","86000US07305","07305","In nonfamily households",7870
"2013","86000US07305","07305","Total Population 25 Years and over",40153
"2013","86000US07305","07305","Male Population 25 Years and over",17814
"2013","86000US07305","07305","Male - No schooling completed",314
"2013","86000US07305","07305","Male - Nursery to 4th grade",246
"2013","86000US07305","07305","Male - 5th and 6th grade",424
"2013","86000US07305","07305","Male - 7th and 8th grade",289
"2013","86000US07305","07305","Male - 9th grade",170
"2013","86000US07305","07305","Male - 10th grade",488
"2013","86000US07305","07305","Male - 11th grade",701
"2013","86000US07305","07305","Male - 12th grade, no diploma",579
"2013","86000US07305","07305","Male - High school graduate, GED, or alternative",5171
"2013","86000US07305","07305","Male - Some college, less than 1 year",930
"2013","86000US07305","07305","Male - Some college, 1 or more years, no degree",2833
"2013","86000US07305","07305","Male - Associate's degree",711
"2013","86000US07305","07305","Male - Bachelor's degree",3315
"2013","86000US07305","07305","Male - Master's degree",930
"2013","86000US07305","07305","Male - Professional school degree",557
"2013","86000US07305","07305","Male - Doctorate degree",156
"2013","86000US07305","07305","Female Population 25 Years and over",22339
"2013","86000US07305","07305","Female - No schooling completed",374
"2013","86000US07305","07305","Female - Nursery to 4th grade",321
"2013","86000US07305","07305","Female - 5th and 6th grade",412
"2013","86000US07305","07305","Female - 7th and 8th grade",548
"2013","86000US07305","07305","Female - 9th grade",211
"2013","86000US07305","07305","Female - 10th grade",752
"2013","86000US07305","07305","Female - 11th grade",764
"2013","86000US07305","07305","Female - 12th grade, no diploma",769
"2013","86000US07305","07305","Female - High school graduate, GED, or alternative",5780
"2013","86000US07305","07305","Female - Some college, less than 1 year",1234
"2013","86000US07305","07305","Female - Some college, 1 or more years, no degree",3925
"2013","86000US07305","07305","Female - Associate's degree",1048
"2013","86000US07305","07305","Female - Bachelor's degree",4398
"2013","86000US07305","07305","Female - Master's degree",1380
"2013","86000US07305","07305","Female - Professional school degree",375
"2013","86000US07305","07305","Female - Doctorate degree",48
"2013","86000US07306","07306","Total Population",53767
"2013","86000US07306","07306","Male Population",27675
"2013","86000US07306","07306","Male Under 5 years",1985
"2013","86000US07306","07306","Male 5 to 9 years",1598
"2013","86000US07306","07306","Male 10 to 14 years",1217
"2013","86000US07306","07306","Male 15 to 17 years",889
"2013","86000US07306","07306","Male 18 and 19 years",717
"2013","86000US07306","07306","Male 20 years",423
"2013","86000US07306","07306","Male 21 years",265
"2013","86000US07306","07306","Male 22 to 24 years",1732
"2013","86000US07306","07306","Male 25 to 29 years",3413
"2013","86000US07306","07306","Male 30 to 34 years",3122
"2013","86000US07306","07306","Male 35 to 39 years",2281
"2013","86000US07306","07306","Male 40 to 44 years",1645
"2013","86000US07306","07306","Male 45 to 49 years",1915
"2013","86000US07306","07306","Male 50 to 54 years",1760
"2013","86000US07306","07306","Male 55 to 59 years",1534
"2013","86000US07306","07306","Male 60 and 61 years",415
"2013","86000US07306","07306","Male 62 to 64 years",780
"2013","86000US07306","07306","Male 65 and 66 years",466
"2013","86000US07306","07306","Male 67 to 69 years",446
"2013","86000US07306","07306","Male 70 to 74 years",483
"2013","86000US07306","07306","Male 75 to 79 years",317
"2013","86000US07306","07306","Male 80 to 84 years",172
"2013","86000US07306","07306","Male 85 years and over",100
"2013","86000US07306","07306","Female Population",26092
"2013","86000US07306","07306","Female Under 5 years",2203
"2013","86000US07306","07306","Female 5 to 9 years",1509
"2013","86000US07306","07306","Female 10 to 14 years",1077
"2013","86000US07306","07306","Female 15 to 17 years",878
"2013","86000US07306","07306","Female 18 and 19 years",888
"2013","86000US07306","07306","Female 20 years",259
"2013","86000US07306","07306","Female 21 years",324
"2013","86000US07306","07306","Female 22 to 24 years",1337
"2013","86000US07306","07306","Female 25 to 29 years",2760
"2013","86000US07306","07306","Female 30 to 34 years",2708
